#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,long,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,robot,source,batt_charge_remaining_ah,batt_current,batt_energy_consumed_wh,batt_power_draw,batt_soc_percent,batt_soc_status_code,batt_voltage,joint_P_total,joint_load_ratio,joint_omega_L,joint_omega_R,joint_tau_L,joint_tau_R,odom_S_total,odom_accel,odom_delta_t,odom_omega,odom_v_linear
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.742486784Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.762436352Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019907,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.78338816Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020632,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.802770688Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019397,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.823411712Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020062,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.842768128Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.02013,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.862839552Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019825,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.88252288Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019983,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.90279424Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020062,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.923856384Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020072,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.94291072Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020091,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.962763008Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019799,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:03.982642944Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019995,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.002902784Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019994,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.022853376Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019981,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.042619904Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020129,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.062579712Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019877,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.082423552Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019979,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.102658816Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020015,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.122716416Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020023,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.142739712Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020169,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.162535936Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.01982,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.182585344Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020027,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.202502912Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019957,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.222612224Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020031,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.242690048Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020126,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.262509568Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019852,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.282516992Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020014,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.302535936Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020015,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.322527488Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019998,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.342499328Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020072,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.362347008Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.019892,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.38247936Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020004,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.402840064Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.02004,-0,0
,,0,2026-07-10T09:57:00Z,2026-07-10T10:02:30Z,2026-07-10T09:57:04.422651648Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,0.186,0,0.020022,-0,0
