#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,long,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,robot,source,batt_charge_remaining_ah,batt_current,batt_energy_consumed_wh,batt_power_draw,batt_soc_percent,batt_soc_status_code,batt_voltage,joint_P_total,joint_load_ratio,joint_omega_L,joint_omega_R,joint_tau_L,joint_tau_R,odom_S_total,odom_accel,odom_delta_t,odom_omega,odom_v_linear
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.056493312Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.076166144Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.01997,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.096276992Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.020054,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.116167424Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019966,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.136142848Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019983,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.156263424Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.020002,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.176257024Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.02003,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.19617152Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019989,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.216160256Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.02001,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.236173312Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019991,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.256246272Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.020022,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.276188672Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019963,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.296162304Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019995,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.316226816Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.020035,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.336231936Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.019967,-0,0
,,0,2026-07-13T19:04:30Z,2026-07-13T19:09:50Z,2026-07-13T19:04:32.356176896Z,polebot_telemetry,polebot_amr,hardware_pzem,32,0.5,0,0,100,3,51.2,0,0,-0,0,0,0,4.3368,0,0.02,-0,0
