#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,long,double,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,robot,source,batt_charge_remaining_ah,batt_current,batt_energy_consumed_wh,batt_power_draw,batt_soc_percent,batt_soc_status_code,batt_voltage,joint_P_total,joint_load_ratio,joint_omega_L,joint_omega_R,joint_tau_L,joint_tau_R,odom_S_total,odom_accel,odom_delta_t,odom_omega,odom_v_linear
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.802921216Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.82273536Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.02001,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.843256576Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.020196,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.862895616Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.019818,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.88306304Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.019964,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.903019264Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.020043,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.923091968Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.019995,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.943206656Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.02022,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.96270976Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.019781,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:11.983067904Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.020001,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:12.002678528Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.019997,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:12.023021824Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.020001,-0,0
,,0,2026-07-10T10:04:00Z,2026-07-10T10:09:30Z,2026-07-10T10:04:12.043218432Z,polebot_telemetry,polebot_amr,hardware_pzem,24.831,0.24,316.9415,10.61,77.6,1,44.21,0,0,-0,0,0,0,0.1224,0,0.020254,-0,0
