timestamp,forecast_value,ci_lower,ci_upper,field,unit
2026-07-10 17:09:19,0.0045148834396312645,-0.01635386883691326,0.025383635716175787,odom_v_linear,m/s
2026-07-10 17:09:20,0.028298178936047608,-0.013189559293714341,0.06978591716580956,odom_v_linear,m/s
2026-07-10 17:09:21,0.05016028547943833,-0.010816100182171058,0.11113667114104772,odom_v_linear,m/s
2026-07-10 17:09:22,0.06953674232360883,-0.008731876792315518,0.14780536143953318,odom_v_linear,m/s
2026-07-10 17:09:23,0.08590587607599044,-0.007989375576890154,0.17980112772887102,odom_v_linear,m/s
2026-07-10 17:09:24,0.09884938818561205,-0.008989677432400853,0.20668845380362494,odom_v_linear,m/s
2026-07-10 17:09:25,0.10806238917755462,-0.011912771083294874,0.2280375494384041,odom_v_linear,m/s
2026-07-10 17:09:26,0.1133597725338666,-0.016831455658583475,0.2435510007263167,odom_v_linear,m/s
2026-07-10 17:09:27,0.11467882681339732,-0.023755325331619268,0.2531129789584139,odom_v_linear,m/s
2026-07-10 17:09:28,0.11207810030157549,-0.03265348364190575,0.25680968424505674,odom_v_linear,m/s
2026-07-10 17:09:29,0.1057326448926751,-0.043469287140645615,0.2549345769259958,odom_v_linear,m/s
2026-07-10 17:09:30,0.09592587173018603,-0.05613091405761382,0.24798265751798587,odom_v_linear,m/s
2026-07-10 17:09:31,0.08303834734393391,-0.07055801137881922,0.23663470606668702,odom_v_linear,m/s
2026-07-10 17:09:32,0.06753394296775153,-0.0866628660412049,0.22173075197670797,odom_v_linear,m/s
2026-07-10 17:09:33,0.049943819175754516,-0.1043436172155181,0.20423125556702715,odom_v_linear,m/s
2026-07-10 17:09:34,0.03084878120651622,-0.12346731009073209,0.1851648725037645,odom_v_linear,m/s
2026-07-10 17:09:35,0.010860576151506337,-0.1438429157866328,0.1655640680896455,odom_v_linear,m/s
2026-07-10 17:09:36,-0.009397279080142791,-0.1651891564224177,0.1463945982621321,odom_v_linear,m/s
2026-07-10 17:09:37,-0.029308550531579915,-0.1871075075922421,0.12849040652908228,odom_v_linear,m/s
2026-07-10 17:09:38,-0.04828265033469065,-0.2090732037808855,0.11250790311150421,odom_v_linear,m/s
2026-07-10 17:09:39,-0.0657717746810043,-0.2304528922181126,0.09890934285610399,odom_v_linear,m/s
2026-07-10 17:09:40,-0.08128633118548838,-0.25054785576545385,0.08797519339447711,odom_v_linear,m/s
2026-07-10 17:09:41,-0.09440823366257532,-0.2686524910033891,0.07983602367823846,odom_v_linear,m/s
2026-07-10 17:09:42,-0.10480171692532865,-0.2841144959426929,0.07451106209203558,odom_v_linear,m/s
2026-07-10 17:09:43,-0.11222140742149614,-0.29638622474807913,0.07194340990508685,odom_v_linear,m/s
2026-07-10 17:09:44,-0.11651747461802942,-0.30506214642207946,0.07202719718602063,odom_v_linear,m/s
2026-07-10 17:09:45,-0.11763778021187814,-0.3099017884885589,0.07462622806480267,odom_v_linear,m/s
2026-07-10 17:09:46,-0.11562703463036571,-0.31083976285209314,0.07958569359136174,odom_v_linear,m/s
2026-07-10 17:09:47,-0.110623060103853,-0.30798494396087317,0.08673882375316713,odom_v_linear,m/s
2026-07-10 17:09:48,-0.10285034420732492,-0.3016104978928048,0.095909809478155,odom_v_linear,m/s
2026-07-10 17:09:49,-0.09261114475843243,-0.2921359106403195,0.10691362112345468,odom_v_linear,m/s
2026-07-10 17:09:50,-0.08027447419891234,-0.280101797302817,0.11955284890499229,odom_v_linear,m/s
2026-07-10 17:09:51,-0.06626334729170108,-0.2661382755038156,0.13361158092041342,odom_v_linear,m/s
2026-07-10 17:09:52,-0.05104071874605539,-0.2509281477771805,0.14884671028506968,odom_v_linear,m/s
2026-07-10 17:09:53,-0.0350945662694811,-0.2351670369589861,0.1649779044200239,odom_v_linear,m/s
2026-07-10 17:09:54,-0.018922589012116915,-0.21952372737432535,0.18167854935009153,odom_v_linear,m/s
2026-07-10 17:09:55,-0.0030169913371788613,-0.20460479862139389,0.19857081594703616,odom_v_linear,m/s
2026-07-10 17:09:56,0.012150192320863314,-0.1909276013595222,0.21522798600124882,odom_v_linear,m/s
2026-07-10 17:09:57,0.026140803284920647,-0.17890437176099794,0.2311859783308392,odom_v_linear,m/s
2026-07-10 17:09:58,0.0385629066671681,-0.16883807189133268,0.2459638852256689,odom_v_linear,m/s
2026-07-10 17:09:59,0.04908144357091928,-0.16092820660467444,0.259091093746513,odom_v_linear,m/s
2026-07-10 17:10:00,0.05742690880543078,-0.15528331167831863,0.2701371292891802,odom_v_linear,m/s
2026-07-10 17:10:01,0.06340184175156781,-0.1519364611206941,0.27874014462382973,odom_v_linear,m/s
2026-07-10 17:10:02,0.0668849890643339,-0.1508607938760738,0.28463077200474163,odom_v_linear,m/s
2026-07-10 17:10:03,0.06783307144415136,-0.151983150810939,0.28764929369924175,odom_v_linear,m/s
2026-07-10 17:10:04,0.06628016047773942,-0.15519492904756454,0.2877552500030434,odom_v_linear,m/s
2026-07-10 17:10:05,0.062334743316198295,-0.16035994804121725,0.28502943467361386,odom_v_linear,m/s
2026-07-10 17:10:06,0.05617462061239007,-0.16731947090179997,0.2796687121265801,odom_v_linear,m/s
2026-07-10 17:10:07,0.04803984474768228,-0.17589465726773734,0.2719743467631019,odom_v_linear,m/s
2026-07-10 17:10:08,0.03822395923506176,-0.18588679007793601,0.2623347085480595,odom_v_linear,m/s
2026-07-10 17:10:09,0.027063844862340064,-0.19707573540301188,0.251203425127692,odom_v_linear,m/s
2026-07-10 17:10:10,0.014928512517990647,-0.2092173187334305,0.2390743437694118,odom_v_linear,m/s
2026-07-10 17:10:11,0.0022072059428898446,-0.2220406121391882,0.22645502402496787,odom_v_linear,m/s
2026-07-10 17:10:12,-0.010702810553700306,-0.2352464223474981,0.21384080124009747,odom_v_linear,m/s
2026-07-10 17:10:13,-0.023408404156975482,-0.24850839065044222,0.20169158233649126,odom_v_linear,m/s
2026-07-10 17:10:14,-0.03553230120991596,-0.2614779110825286,0.1904133086626967,odom_v_linear,m/s
2026-07-10 17:10:15,-0.04672404806219373,-0.27379349218448984,0.18034539606010236,odom_v_linear,m/s
2026-07-10 17:10:16,-0.05666989421931823,-0.28509433809402074,0.17175454965538428,odom_v_linear,m/s
2026-07-10 17:10:17,-0.0651013270124509,-0.29503704878526416,0.16483439476036238,odom_v_linear,m/s
2026-07-10 17:10:18,-0.0718020342727074,-0.3033137016915126,0.15970963314609782,odom_v_linear,m/s
